pageName|name|testData|xpath
indivdualClientLayout|code|common<name>1234567890|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr/td[3]/input
indivdualClientLayout|lastName|common<name>姓１|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[2]/td[3]/input
indivdualClientLayout|lastNameKana|common<name>カ|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[3]/td[3]/input
indivdualClientLayout|firstName|common<name>名１|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[2]/td[3]/input[2]
indivdualClientLayout|firstNameKana|common<name>カカ|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[3]/td[3]/input[2]
indivdualClientLayout|tradeName|common<name>６５４７８|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[4]/td[2]/input
indivdualClientLayout|output_Name||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[5]/td[2]/span/span/input
indivdualClientLayout|output_TradeName||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[5]/td[2]/span/span[2]/input
indivdualClientLayout|closingDate_Era||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span[2]/span
indivdualClientLayout|closingDate_Year|TS4789<name>24<data>common<name>22|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span[2]/input
indivdualClientLayout|closingDate_Month|TS4789<name>3<data>common<name>2|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span[2]/input[2]
indivdualClientLayout|closingDate_Day|common<name>20|//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span[2]/input[3]
indivdualClientLayout|accountPeriod_StartEra||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[2]/span
indivdualClientLayout|accountPeriod_StartYear||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[2]/input
indivdualClientLayout|accountPeriod_StartMonth||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[2]/input[2]
indivdualClientLayout|accountPeriod_StartDay||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[2]/input[3]
indivdualClientLayout|accountPeriod_EndEra||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[4]/span
indivdualClientLayout|accountPeriod_EndYear||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[4]/input
indivdualClientLayout|accountPeriod_EndMonth||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[4]/input[2]
indivdualClientLayout|accountPeriod_EndDay||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span[4]/input[3]
indivdualClientLayout|accountStructure||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/select
indivdualClientLayout|manufacturingCostType_Use||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[2]/span/input
indivdualClientLayout|manufacturingCostType_NotUse||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span[2]/span[2]/input
indivdualClientLayout|businessPersonType_ApplicablePerson||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span/span/input
indivdualClientLayout|businessPersonType_ExemptPerson||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span/span[2]/input
indivdualClientLayout|taxationMethod_General||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[11]/td[2]/span/span/input
indivdualClientLayout|taxationMethod_Simplified||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[11]/td[2]/span/span[2]/input
indivdualClientLayout|businessSegment_Yes||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[12]/td[2]/span/span/input
indivdualClientLayout|businessSegment_No||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[12]/td[2]/span/span[2]/input
indivdualClientLayout|mainBusinessSegType||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[13]/td[2]/select
indivdualClientLayout|fractionOfSaleType||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[14]/td[2]/select
indivdualClientLayout|fractionOfPurchaseType||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[15]/td[2]/select
indivdualClientLayout|taxMethodAndTransferType_Include||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[16]/td[2]/span/span/input
indivdualClientLayout|taxMethodAndTransferType_Exclude||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[16]/td[2]/span/span[2]/input
indivdualClientLayout|ok||//html/body/div[3]/div[3]/div/div/div/table[2]/tbody/tr/td/table/tbody/tr/td/button
indivdualClientLayout|codeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr/td[3]/span
indivdualClientLayout|nameDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[3]/td[3]/span
indivdualClientLayout|nameKanaDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[2]/td[3]/span
indivdualClientLayout|tradeNameDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[4]/td[2]/span
indivdualClientLayout|outputDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[5]/td[2]/span
indivdualClientLayout|closingDateDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[6]/td[2]/span
indivdualClientLayout|accountPeriodDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[7]/td[2]/span
indivdualClientLayout|accountStructureDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[8]/td[2]/span
indivdualClientLayout|manufacturingCostTypeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[9]/td[2]/span
indivdualClientLayout|consumptionTax_BusinessTypeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/span
indivdualClientLayout|taxationMethodDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[11]/td[2]/span
indivdualClientLayout|businessSegmentUsageDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[12]/td[2]/span
indivdualClientLayout|fractionOfSaleTypeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[14]/td[2]/span
indivdualClientLayout|fractionOfPurchaseTypeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[15]/td[2]/span
indivdualClientLayout|taxMethodAndTransferTypeDisp||//html/body/div/div/div/div[2]/div[2]/div/div/div/div[2]/div/div/div/div/div/div/div/div[3]/div/div/table/tbody/tr[16]/td[2]/span

bottomMenu|edit||//html/body/div/div/div/div[2]/div[3]/div/div/div/div/div/table[2]/tbody/tr/td/table/tbody/tr/td[4]/button
bottomMenu|save||//html/body/div/div/div/div[2]/div[3]/div/div/div/div/div/table[2]/tbody/tr/td[2]/table/tbody/tr/td/button
bottomMenu|close||//html/body/div/div/div/div[2]/div[3]/div/div/div/div/div/table[2]/tbody/tr/td[3]/table/tbody/tr/td[4]/button
